Generations,Popsize,Neutral,Deleterious,Beneficial
378,9932,6406,6697,721
379,9843,6355,6709,697
380,9926,6376,6696,708
381,9884,6332,6671,704
382,10036,6360,6748,699
383,9950,6364,6730,711
384,9775,6383,6741,703
385,9822,6376,6755,701
386,9907,6401,6780,707
387,9711,6312,6700,710
388,9919,6341,6717,728
389,9956,6312,6721,718
390,9838,6299,6699,718
391,9870,6318,6737,726
392,9853,6352,6708,741
393,9906,6363,6715,727
394,9793,6303,6734,714
395,9941,6340,6823,717
396,9793,6331,6769,712
397,9804,6362,6737,723
398,9972,6436,6780,731
399,9828,6402,6817,728
400,9872,6409,6805,711
401,9996,6439,6772,721
402,9872,6438,6754,723
403,9958,6418,6829,737
404,10071,6424,6810,747
405,9761,6357,6749,723
406,9944,6374,6752,721
407,9950,6388,6766,733
408,9878,6357,6788,738
409,9979,6370,6777,730
410,9980,6438,6734,741
411,9763,6403,6786,714
412,9862,6412,6861,709
413,9852,6445,6883,722
414,9852,6423,6832,732
415,9903,6498,6834,738
416,9909,6502,6863,728
417,9895,6451,6843,735
418,9814,6411,6842,746
419,9876,6478,6861,769
420,9855,6456,6848,763
421,9722,6514,6787,750
422,9945,6529,6809,760
423,9979,6533,6781,766
424,9902,6520,6735,775
425,9932,6522,6731,761
426,9847,6524,6724,758
427,9710,6523,6735,770
428,9855,6525,6725,769
429,9930,6528,6737,783
430,9926,6499,6695,781
431,9887,6467,6724,771
432,9849,6453,6676,743
433,9911,6495,6698,752
434,9729,6474,6738,745
435,9713,6468,6705,743
436,9813,6427,6748,736
437,9870,6407,6786,735
438,9783,6419,6795,724
439,9811,6418,6802,729
440,9794,6442,6796,725
441,9768,6478,6777,749
442,9779,6480,6810,750
443,9868,6498,6768,734
444,9790,6508,6752,730
445,9889,6482,6751,714
446,9841,6422,6724,727
447,9878,6427,6775,720
448,9915,6420,6698,709
449,9874,6439,6707,716
450,9833,6447,6710,722
451,9862,6406,6723,722
452,9824,6386,6722,718
453,9804,6377,6650,720
454,9799,6395,6705,742
455,9803,6390,6689,735
456,9918,6395,6723,741
457,9917,6398,6695,742
458,9870,6356,6756,729
459,9843,6331,6798,716
460,9892,6382,6769,717
461,9870,6444,6770,719
462,9982,6504,6776,724
463,9827,6510,6764,723
464,9768,6480,6736,711
465,9952,6488,6759,718
466,9743,6454,6768,713
467,9887,6486,6798,713
468,9851,6533,6756,710
469,9777,6522,6787,713
470,9880,6512,6797,710
471,9823,6474,6799,713
472,9857,6500,6803,709
473,9789,6463,6775,710
474,9964,6490,6798,711
475,9877,6511,6814,718
476,9789,6497,6785,705
477,9812,6494,6762,715
478,9952,6501,6780,717
479,9898,6523,6820,699
480,9830,6495,6835,714
481,9736,6481,6837,722
482,9795,6505,6826,721
483,9920,6529,6863,739
484,9838,6501,6771,736
485,9817,6549,6840,727
486,9899,6534,6902,723
487,9804,6574,6915,734
488,9763,6575,6912,728
489,9872,6604,6888,742
490,9881,6603,6886,759
491,9873,6614,6869,748
492,9877,6676,6922,743
493,9874,6651,6909,763
494,9807,6646,6880,783
495,9913,6608,6907,777
496,9838,6541,6886,764
497,9870,6531,6847,762
498,9939,6565,6855,775
499,9851,6546,6840,770
500,9849,6595,6867,764
501,9840,6571,6839,762
502,9737,6528,6796,765
503,9879,6484,6808,771
504,9747,6496,6847,765
505,9786,6554,6819,772
506,9931,6550,6800,761
507,9869,6561,6815,756
508,9893,6553,6822,745
509,9840,6450,6813,755
510,9912,6452,6843,747
511,9764,6449,6824,760
512,9805,6504,6843,759
513,9762,6548,6892,755
514,9851,6551,6936,757
515,9825,6548,6936,768
516,9973,6546,6935,760
517,9837,6560,6908,778
518,10043,6615,6923,764
519,9877,6596,6844,765
520,9847,6636,6858,775
521,9864,6610,6899,760
522,9897,6608,6955,777
523,9893,6619,6907,777
524,9721,6664,6898,788
525,9865,6662,6849,796
526,10004,6689,6867,801
527,9819,6645,6918,784
528,9742,6621,6892,801
529,9772,6673,6933,792
530,9752,6654,6890,797
531,9932,6722,6942,791
532,9793,6724,6983,791
533,9838,6758,6946,775
534,9837,6700,6996,774
535,9957,6750,7013,772
536,9779,6692,6954,773
537,9799,6727,6952,790
538,9823,6682,6940,798
539,9838,6695,6917,789
540,9784,6646,6929,767
541,9906,6722,6984,776
542,9894,6746,6980,762
543,9961,6692,7026,787
544,9756,6709,6998,788
545,9859,6669,7012,780
546,9805,6638,6963,766
547,9866,6597,6974,776
548,9884,6619,7000,757
549,9810,6639,6988,787
550,9710,6662,7006,800
551,9780,6668,7000,780
552,9809,6625,7030,788
553,9879,6679,7085,769
554,9881,6708,7025,789
555,9802,6741,6987,791
556,9859,6729,6996,795
557,9760,6743,6992,789
558,9997,6726,6974,782
559,9767,6687,6967,776
560,9734,6669,7018,795
561,9936,6723,7103,804
562,9836,6742,7107,796
