pos	fix_time	rep	recomb	mut_rate	num_sub
9	1322	9	unlinked	1.00E-07	10
0	4048	10	unlinked	1.00E-07	10
1	533	10	unlinked	1.00E-07	10
2	5502	10	unlinked	1.00E-07	10
3	4011	10	unlinked	1.00E-07	10
4	2294	10	unlinked	1.00E-07	10
5	1129	10	unlinked	1.00E-07	10
6	3683	10	unlinked	1.00E-07	10
7	1436	10	unlinked	1.00E-07	10
8	719	10	unlinked	1.00E-07	10
9	1708	10	unlinked	1.00E-07	10
1	9556	1	unlinked	1.00E-08	8
2	12579	1	unlinked	1.00E-08	8
3	5877	1	unlinked	1.00E-08	8
5	6337	1	unlinked	1.00E-08	8
6	4157	1	unlinked	1.00E-08	8
7	1426	1	unlinked	1.00E-08	8
8	17479	1	unlinked	1.00E-08	8
9	5443	1	unlinked	1.00E-08	8
0	3786	2	unlinked	1.00E-08	7
1	3432	2	unlinked	1.00E-08	7
2	3560	2	unlinked	1.00E-08	7
3	8190	2	unlinked	1.00E-08	7
4	14288	2	unlinked	1.00E-08	7
6	6832	2	unlinked	1.00E-08	7
9	14895	2	unlinked	1.00E-08	7
0	1662	3	unlinked	1.00E-08	8
1	16496	3	unlinked	1.00E-08	8
2	12070	3	unlinked	1.00E-08	8
3	4123	3	unlinked	1.00E-08	8
4	11766	3	unlinked	1.00E-08	8
5	2840	3	unlinked	1.00E-08	8
7	6562	3	unlinked	1.00E-08	8
8	7611	3	unlinked	1.00E-08	8
0	1160	4	unlinked	1.00E-08	7
1	11280	4	unlinked	1.00E-08	7
2	627	4	unlinked	1.00E-08	7
3	5767	4	unlinked	1.00E-08	7
6	11116	4	unlinked	1.00E-08	7
8	7074	4	unlinked	1.00E-08	7
9	1622	4	unlinked	1.00E-08	7
0	4839	5	unlinked	1.00E-08	8
2	3466	5	unlinked	1.00E-08	8
4	16877	5	unlinked	1.00E-08	8
9	12166	5	unlinked	1.00E-08	8
0	8327	6	unlinked	1.00E-08	7
1	10766	6	unlinked	1.00E-08	7
2	15277	6	unlinked	1.00E-08	7
3	10475	6	unlinked	1.00E-08	7
4	11559	6	unlinked	1.00E-08	7
6	9510	6	unlinked	1.00E-08	7
8	13493	6	unlinked	1.00E-08	7
0	10498	7	unlinked	1.00E-08	8
1	16194	7	unlinked	1.00E-08	8
3	4617	7	unlinked	1.00E-08	8
4	19301	7	unlinked	1.00E-08	8
6	19967	7	unlinked	1.00E-08	8
7	1484	7	unlinked	1.00E-08	8
8	3286	7	unlinked	1.00E-08	8
9	4747	7	unlinked	1.00E-08	8
0	7734	8	unlinked	1.00E-08	7
4	2604	8	unlinked	1.00E-08	7
5	11599	8	unlinked	1.00E-08	7
6	6596	8	unlinked	1.00E-08	7
7	9814	8	unlinked	1.00E-08	7
8	4991	8	unlinked	1.00E-08	7
9	3405	8	unlinked	1.00E-08	7
0	3208	9	unlinked	1.00E-08	9
1	6589	9	unlinked	1.00E-08	9
2	6129	9	unlinked	1.00E-08	9
3	14566	9	unlinked	1.00E-08	9
5	17508	9	unlinked	1.00E-08	9
6	12172	9	unlinked	1.00E-08	9
7	3447	9	unlinked	1.00E-08	9
8	805	9	unlinked	1.00E-08	9
9	4386	9	unlinked	1.00E-08	9
2	6388	10	unlinked	1.00E-08	6
4	4234	10	unlinked	1.00E-08	6
